,Prediction
0,<pad> UK House Price Dipped a Little in November</s>
1,<pad> deutsche boerse bn offer rejected middecember</s>
2,<pad> Imanol Harinordoquy Dropped in ireland Six Nation Match</s>
3,<pad> Shares of uk banking group barclays risen monday following weekend press report held merger talk</s>
4,<pad> Labour tory calling people signed tps list telephoning tps registered voter check voting intention</s>
5,<pad> glenn hoddle unveiled as new wolf manager</s>
6,<pad> Dubai Open - Daniela hantuchova Moves to Quarterfinals</s>
7,<pad> UK Airport Operator Baa Reiterates Support Government Aviation Expansion Plan</s>
8,<pad> Partridge Worked Marley Partridge Worked Marley</s>
9,<pad> Three Labour Councillors in birmingham caught Operating Voting Fraud Factory Election</s>
10,<pad> Yukos Says U Bankruptcy Court Will Continue Wednesday</s>
11,<pad> Oscar Nominated Film</s>
12,<pad> adriano agent gilmar rinaldi insisted contact chelsea striker adriano</s>
13,<pad> Next said Annual Profit Lower Previously Expected EndofFall Clearance Sale Proved Disappointing</s>
14,<pad> Japan Box Office Boosted Last Year</s>
15,<pad> Eurodisney Sell New Share Priced Euro Cent</s>
16,<pad> Homegrown Search Engine Unveiled</s>
17,<pad> U Rock Band korn Quits Music Business</s>
18,<pad> Insurance Broker 'Marsh' Mclennans Shareholder Transaction Firm Says Security Exchange Commission Asks Information Transaction</s>
19,<pad> mtv criticised incessant sleaze television</s>
20,<pad> Australia Raising Benchmark Interest Rate Despite Slowdown Country Economy Reserve Bank</s>
21,<pad> Spanish Open Highlights - Unseeded Nadal</s>
22,<pad> Share India Largest Power Producer National Thermal Power Corp Ntpc Rises Stock Market Debut Government Part Controversy Programme Privatise Staterun Firm Million Share Offer</s>
23,<pad> ossie davis funeral harlem</s>
24,<pad> Investor Snaps Jet Airway India Air Travel Share Offer</s>
25,<pad> Womens Boston Indoor Game</s>
26,<pad> Top Name scottish Music Taking Part Concert Aid Victim asian tsunami</s>
27,<pad> Australian Open Finale - Hewitt Keeps Dream Australian Open Title Alive</s>
28,<pad> Supercasino in glasgow scottish parliament government plan eight la vega style resort</s>
29,<pad> Leicester say rushed Making Bid Andy Farrell</s>
30,<pad> Southampton Set to Unveiled harry redknapp new manager</s>
31,<pad> tony blair joins home secretary david blunkett visit sheffield</s>
